2019
Ocorrencia;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez;Total
HOMICÍDIO DOLOSO (2);5;1;...;...;...;...;...;...;...;...;...;...;6
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3);5;1;...;...;...;...;...;...;...;...;...;...;6
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;...;...;...;...;...;...;...;...;...;...;0
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;...;...;...;...;...;...;...;...;...;...;0
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO;0;1;...;...;...;...;...;...;...;...;...;...;1
HOMICÍDIO CULPOSO OUTROS;0;1;...;...;...;...;...;...;...;...;...;...;1
TENTATIVA DE HOMICÍDIO;1;0;...;...;...;...;...;...;...;...;...;...;1
LESÃO CORPORAL SEGUIDA DE MORTE;0;0;...;...;...;...;...;...;...;...;...;...;0
LESÃO CORPORAL DOLOSA;29;19;...;...;...;...;...;...;...;...;...;...;48
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO;9;9;...;...;...;...;...;...;...;...;...;...;18
LESÃO CORPORAL CULPOSA - OUTRAS;0;0;...;...;...;...;...;...;...;...;...;...;0
LATROCÍNIO;0;0;...;...;...;...;...;...;...;...;...;...;0
Nº DE VÍTIMAS EM LATROCÍNIO;0;0;...;...;...;...;...;...;...;...;...;...;0
TOTAL DE ESTUPRO (4);0;2;...;...;...;...;...;...;...;...;...;...;2
ESTUPRO;0;1;...;...;...;...;...;...;...;...;...;...;1
ESTUPRO DE VULNERÁVEL;0;1;...;...;...;...;...;...;...;...;...;...;1
TOTAL DE ROUBO - OUTROS (1);9;5;...;...;...;...;...;...;...;...;...;...;14
ROUBO - OUTROS;9;5;...;...;...;...;...;...;...;...;...;...;14
ROUBO DE VEÍCULO;3;0;...;...;...;...;...;...;...;...;...;...;3
ROUBO A BANCO;0;0;...;...;...;...;...;...;...;...;...;...;0
ROUBO DE CARGA;0;0;...;...;...;...;...;...;...;...;...;...;0
FURTO - OUTROS;57;66;...;...;...;...;...;...;...;...;...;...;123
FURTO DE VEÍCULO;5;4;...;...;...;...;...;...;...;...;...;...;9
